slug,hashId,title,chatDate,imageSlug,imageAlt,imageCaption,workDate,pubDate,category,cluster,featured,notes
validation-driven-development,f8ebb5564cd9,Validation-Driven Development: When Tests Enable Bold Moves,,robot-safety.webp,"A robot surrounded by safety harnesses, tests providing the confidence to make bold architectural moves.",,2025-11-01,2025-12-17,insight,,,
multi-agent-coordination-at-scale,1f343e1ff581,Multi-Agent Coordination at Scale: The 70% Reduction Pattern,,robot-multiscale.webp,"Multiple robots operating at different scales simultaneously, coordinated effort compressing weeks into hours.",,2025-11-01,2025-12-23,building,,,
the-week-after,500d1e637647,The Week After,,robot-newdonutmachine.webp,"A robot installing upgraded equipment, the calm after crisis giving way to deliberate improvement.",,2025-12-05,2025-12-23,insight,,,
the-milestone-pause,c8d763c1a002,The Milestone Pause,,robot-milestone.webp,"A robot pausing at a marked stone on the path, taking stock before the next stretch of work.",,2025-12-11,2025-12-24,insight,,,
strategic-reset,ef12f52f900d,Strategic Reset,,robot-reset.webp,"A robot returning to a cleared workspace, deliberately choosing a fresh orientation after a break.",,2025-12-16,2025-12-26,insight,,,
prevention-over-cure,0b7eeab48abd,Prevention Over Cure: The Infinite ROI of Process Investment,,robot-prevention.webp,"A robot installing guards before failure can occur, process investment creating cheaper future operations.",,2025-11-04,2025-12-27,insight,,,
when-the-ux-audit-says-stop,ec9f4e683d15,When the UX Audit Says ‘Stop’,,robot-dresser.webp,"A robot stopping to organize and prepare before going out, readiness checked before the user sees anything.",,2025-11-13,2025-12-29,insight,,,
reactive-vs-systematic,322deab549ff,Reactive vs Systematic: A Tale of Two Approaches,,robot-mole.webp,"A robot with a mallet poised over a board, showing the futile cycle of fixing symptoms one at a time.",,2025-11-18,2026-01-03,insight,,,
when-users-cant-discover,267268cae81a,When Users Can’t Discover,,robot-discovery.webp,"A robot searching for hidden features in its own product, unable to find what should be obvious.",,2025-12-20,2026-01-03,insight,,,
external-validation-as-decision-catalyst,d584d26511f5,External Validation as Decision Catalyst,,robot-expert.webp,A robot consulting an outside expert whose hard questions accelerate decisions that were stalled internally.,,2025-11-19,2026-01-04,insight,,,
the-capability-sprint,8933b6228780,The Capability Sprint,,robot-advent.webp,"A robot opening numbered doors one by one, uncovering what the product can actually do today.",,2025-12-24,2026-01-05,building,,,
the-new-year-build,d6ede16a45e6,The New Year Build,,robot-dashboard.webp,"A robot reviewing a status dashboard at the start of a new year, planning what to build next.",,2025-12-31,2026-01-08,insight,,,
the-completion-matrix,9cdc7a60326f,The Completion Matrix: Why “Tests Pass” Isn’t Done,,piper-house.webp,A house under construction showing that a solid frame is not the same as a finished home.,,2025-11-01,2026-01-10,insight,,,
the-shadow-package-problem,30a55697431b,The Shadow Package Problem,,robot-package.webp,A robot discovering a misplaced package that had been silently hiding hundreds of tests from view.,,2025-11-19,2026-01-11,insight,,,
stage-3-complete,85e2417278d6,Stage 3 Complete,,robot-stage3.webp,"A robot standing at the top of a completed stage, ready to move forward.",,2026-01-02,2026-01-13,insight,,,
b1-begins,18feb0a48171,B1 Begins,,robot-prep.webp,A robot laying out tools and materials in preparation for the next phase of work.,,2026-01-06,2026-01-14,building,,,
fat-markers-and-object-models,9750471f82df,Fat Markers and Object Models,,robot-markers.webp,"A robot sketching a diagram with thick markers, translating abstract concepts into visible structure.",,2025-11-27,2026-01-17,insight,,,
the-wizards-journal,f6ebfd55d0ea,The Wizard’s Journal,,robot-wizard.webp,"A robot in a wizard's robe writing reflections in a journal, encoding accumulated knowledge.",,2025-11-27,2026-01-18,building,,,
the-august-stubs,ff4f404639e8,The August Stubs,,robot-stubs.webp,"A robot examining empty pipe stubs that were never connected, discovering months-old incomplete work.",,2026-01-09,2026-01-19,insight,,,
the-domain-model-disconnect,cb49b58467a5,The Domain Model Disconnect,,robot-unfinished.webp,"A robot standing before an unfinished structure, realizing the gap between done and complete.",,2026-01-12,2026-01-21,insight,,,
the-audit-cascade,1f2fae18d396,The Audit Cascade,,robot-assembly.webp,A robot methodically checking each component of an assembly before allowing the line to advance.,,2026-01-13,2026-01-23,insight,,,
settings-abdication,2536c923a72c,Settings = Abdication,,robot-yoga.webp,"A robot contorting into an uncomfortable pose, stretching to accommodate every possible user preference.",,2025-11-16,2026-01-24,insight,,,
8-decisions-in-44-minutes,2f9dc68af576,8 Decisions in 44 Minutes,,robot-gameshow.webp,"A robot on a game show set, answering architectural questions one by one under a timer.",,2025-11-17,2026-01-25,insight,,,
the-october-ghost,8b2cacb686f7,The October Ghost,,robot-ghost.webp,"A robot confronting a ghost haunting the system, tracing a security breach back to its source.",,2026-01-17,2026-01-26,insight,,,
the-planning-caucus,3a30fdc2ab51,The Planning Caucus,,robot-caucus.webp,"Robots gathered in deliberation, consulting specialized advisors before committing to any code.",,2026-01-19,2026-01-28,insight,,,
the-claudemd-paradox,27072f2228e8,The CLAUDE.md Paradox,,robot-alarm.webp,A robot reacting to a blaring alarm after overly detailed instructions triggered the problem they aimed to prevent.,,2026-01-22,2026-01-30,insight,,,
the-completion-discipline,102d9414d33a,The Completion Discipline,,robot-finish.webp,"A robot crossing a finish line, refusing to stop at mostly done when fully complete is within reach.",,2025-11-13,2026-01-31,insight,,,
75-complete,bfced5dfa18b,75% Complete,,robot-75.webp,"A robot at the three-quarter mark of a task, measuring the gap between progress and true completion.",,2025-12-04,2026-02-01,insight,,,
the-mvp-rubric,3432bdf60783,The MVP Rubric,,robot-undoor.webp,"A robot standing at a door that leads somewhere but isn't quite open, debating whether to call it done.",,2026-01-26,2026-02-02,insight,,,
the-cathedral-release,3178cc624b2c,The Cathedral Release,,robot-cutaway.webp,"A cutaway view of a building under construction, showing which rooms are built and which remain planned.",,2026-01-25,2026-02-05,building,,,
when-vision-gets-flattened,0534a41dc6ce,When Vision Gets Flattened,,robot-flat.webp,A robot looking at a 2-D rendering of what was supposed to be a three-dimensional design.,,2025-11-25,2026-02-07,insight,,,
entities-experience-moments-in-places,24c2291bfbb6,Entities Experience Moments in Places,,robot-world.webp,"A robot holding a small globe, representing the grammar through which an AI understands its world.",,2026-01-19,2026-02-08,insight,,,
the-calendar-that-wasnt-mine,4a680a0aec38,The Calendar That Wasn’t Mine,,robot-tenant.webp,"A robot delivering mail to the wrong tenant, exposing a multi-tenancy data isolation failure.",,2026-01-28,2026-02-10,insight,,,
the-drift-we-didnt-see,6cc6f11623cf,The Drift We Didn’t See,,robot-clock.webp,"A robot peering at a clock showing the wrong time, discovering a silent timezone drift in the data.",,2026-01-30,2026-02-12,insight,,,
investigation-as-investment,d416bebffbf6,Investigation as Investment: Saving Time in Advance,,robot-xray.webp,"A robot using an X-ray to examine a system before touching it, revealing root causes invisible on the surface.",,2025-11-23,2026-02-14,insight,,,
analysis-as-acceleration-not-delay,f86a6e7fc648,"Analysis as Acceleration, Not Delay",,f86a6e7fc648-featured,"A robot reviewing a plan before acting, showing how systematic analysis leads to faster execution.",robot-maze.webp,2025-12-08,2026-02-15,insight,,,
sweeping-for-signal,8678a6046470,Sweeping for Signal,,robot-brooms.webp,"Robots sweeping in parallel across a large floor, each clearing a lane to surface what matters.",,2026-02-03,2026-02-17,insight,,,
the-thread-and-the-weave,cd427792496f,The Thread and the Weave,,robot-weave.webp,"A robot tracing a single failing thread through a complex weave, finding how one break affects the whole.",,2026-02-05,2026-02-19,insight,,,
the-forcing-function,c2396c74cb6d,The Forcing Function,,robot-jig.webp,A robot fitting a piece into a jig that enforces correct alignment before any further work can proceed.,,2026-01-30,2026-02-21,insight,,,
upstream-coordination-not-conflict-resolution,5b7215d535cf,"Upstream Coordination, Not Conflict Resolution",,5b7215d535cf-featured,"A robot taking a clear assignment from a coordination queue, preventing overlap before work begins.",robot-upstream.webp,2025-11-29,2026-02-22,insight,,,
the-cathedral-in-winter,430f3607795d,The Cathedral in Winter,,robot-flu.webp,"A robot continuing to tend a cathedral during illness, keeping the work alive through reduced capacity.",,2026-02-10,2026-02-24,building,,,
the-paradox-of-detail,6a7959e826f7,The Paradox of Detail,,robot-sticky.webp,"A robot covered in too many sticky notes, showing how excess detail leads to missed instructions.",,2026-01-26,2026-02-28,insight,,,
the-gate-closes,aa4e05a6a162,The Gate Closes,,ai-portcullis.png,"A portcullis lowering to close a gate, marking the formal boundary that ends a long, expanded sprint.",,2026-03-01,2026-03-19,building,,,
discovery-is-the-bottleneck,978f3ec50a57,Discovery Is the Bottleneck,1/2/2026,discovery-bottleneck.webp,"A funnel narrowed at the discovery layer, where users cannot find what works even when capabilities exist.",,2025-12-28,2026-03-28,insight,,,
wiring-vs-wizardry,a2ba24488d1c,Wiring vs. Wizardry,3/13/2026,wiring-vs-wizardry.webp,"A tangle of wires contrasted with a glowing magical symbol, representing practical integration versus assumed AI magic.",,2026-03-13,2026-03-29,insight,,,
ten-roles-one-day,aeeaf8f75d98,"Ten Roles, One Day",,aeeaf8f75d98-featured.webp,"A figure juggling many objects at once, each representing a different role or active AI collaboration session.",,2026-03-13,2026-03-26,building,,,
the-81-session,b851acd09a2e,The 81% Session,,b851acd09a2e-featured.webp,Puzzle pieces fitting together one by one as a progress bar climbs from a low starting point toward completion.,,2026-03-12,2026-03-24,building,,,
the-deliberate-pause,49ed7c1cd909,The Deliberate Pause,,49ed7c1cd909-featured.webp,"An empty desk with a small note reading 'be back soon,' suggesting intentional rest between intensive work sprints.",,2026-03-05,2026-03-22,building,,,
breaking-without-breaking-momentum,d0321e5ac33a,Breaking Without Breaking Momentum,,d0321e5ac33a-featured.webp,"A person returning to a workspace mid-task, threads of ongoing work still visible and ready to resume.",,2025-12-11,2026-03-21,insight,,,
are-we-doing-it-backwards,7bf92ff5bff6,Are We Doing It Backwards?,3/14/2026,ai-backwards.webp,"People struggle to reach an AI on the ceiling amid tangled machinery, while others stand easily on a glowing AI floor in a calm, open space nearby.",Does something seem off to you?,2026-03-14,2026-03-31,building,,,narrative act 2 (Mar 13-22 arc)
weekly-ship-036-approaching-gate,d424d889a350,Weekly Ship #036: Approaching the Gate,3/20/2026,piper-ship.webp,Piper Morgan ship illustration,,2026-03-20,2026-04-01,ship,the-sprint,,
the-floor-that-wasnt,40976d1f390a,The Floor That Wasn't,3/15/2026,ai-umbrella.webp,"A person stands in the rain getting soaked while a nearby umbrella is open but not covering them, as abstract figures proudly present it.",Dry as a bone,2026-03-15,2026-04-02,building,the-sprint,,narrative act 3 (Mar 13-22 arc)
silent-failures,7b31de76dc52,Silent Failures,3/3/2026,ai-departures.webp,Airport departures board shows all flights on time while outside planes are visibly broken and patched up.,What could possibly go wrong?,2026-03-03,2026-04-04,insight,the-sprint,,March insight backlog
the-mismatch-category,241a48cbd0a6,The Mismatch Category,3/3/2026,ai-handshake.webp,Two AI figures attempt greetings—one offers a handshake the other a fist bump—while a human observes their near miss.,I see the problem!,2026-03-03,2026-04-05,insight,the-sprint,,March insight backlog
fixing-the-foundation,585b6232d996,Fixing the Foundation,3/17/2026,ai-set.webp,A presenter stands ready under a spotlight while small AI helpers hurriedly clean up messy mislabeled props and backdrops behind the scenes.,The show must go on!,2026-03-17,2026-04-07,building,the-sprint,,narrative act 4 (Mar 13-22 arc)
weekly-ship-037-new-ground,d7caa5813e57,Weekly Ship #037: New Ground,3/27/2026,piper-ship.webp,Piper Morgan ship illustration,,2026-03-27,2026-04-08,ship,the-sprint,,
nine-voices,a4c14fb23db5,Nine Voices,3/19/2026,ai-kitchen.webp,A restaurant kitchen where multiple cooks seamlessly pass a single dish along in perfect coordination while a surprised chef watches.,Bon appetit!,2026-03-19,2026-04-09,building,the-sprint,,narrative act 5 (Mar 13-22 arc)
the-no-anchoring-roundtable,ef26c0915e4c,The No-Anchoring Roundtable,3/14/2026,ai-roundtable.webp,Human and four glowing AI agents sit at a round table each writing independently behind small dividers unable to see each other's answers.,No peeking!,2026-03-14,2026-04-11,insight,the-sprint,,March insight backlog
archaeological-debugging,4847f414bb71,Archaeological Debugging: Finding What You've Already Built,12/22/2025,ai-scarab.webp,Developer and AI agents excavate a giant scarab labeled with existing features uncovering fully built code buried under layers of old issues and TODOs.,The legends were true!,2025-12-22,2026-04-12,insight,the-foundation,,
the-closing-sprint,cb4daa0e769e,The Closing Sprint,,ai-finish.webp,A runner crosses a finish line on a newly solid track while ghostly alternate paths converge behind them guided by glowing translucent AI companions assembling the final pieces in midair.,Almost there!,2026-03-20,2026-04-14,building,,,
weekly-ship-038-the-floor-comes-alive,2e3dad52ecc1,Weekly Ship #038: The Floor Comes Alive,,piper-ship.webp,A person leads a small boat crewed by robots.,,2026-04-03,2026-04-15,ship,,,
the-migration,25016e4aa496,The Migration,,ai-migration.webp,A human guides a line of small AI helpers carrying boxes from a cluttered room into a clean one through a central doorway.,Time to unpack!,2026-03-28,2026-04-16,building,,,
thirteen-mailboxes,c8d49a76fefb,Thirteen Mailboxes,,ai-mailboxes.webp,"A human postal worker moves a letter from one mailbox to another in a wall of many adjacent mailboxes, most marked with abstract AI-like symbols, suggesting manual message routing between neighboring agents.","""You've got mail!""",2026-01-13,2026-04-18,insight,,,
sibling-intelligence,a6f224685f5a,Sibling Intelligence,,sibling-intelligence.webp,"A hand-drawn cartoon of a person sweeping a metal detector across a beach scattered with small objects like papers, gears, and abstract shapes. Most items remain dull and half-buried, but a few glow softly as the detector passes over them. The person kneels to collect only the glowing items into a small pouch, leaving the rest behind.","""Solid gold!""",2026-03-19,2026-04-19,insight,,,
four-roles-ninety-minutes,ab6136d78b6c,"Four Roles, Ninety Minutes",,four-roles-ninety-minutes.webp,"Four roles working separately in a small office diagram, sending memos back and forth while a lead developer assembles a design document.","""No meeting? How will we interrupt each other?""",2026-03-23,2026-04-21,building,,,
weekly-ship-039-the-voice-takes-shape,f59c900b6333,Weekly Ship #039: The Voice Takes Shape,,piper-ship.webp,A person leads a small boat crewed by robots.,,2026-04-16,2026-04-22,ship,,,
the-gate,7ba5a4717abe,The Gate,,the-gate.webp,"A path of varied inputs is diverted before reaching a large gate, emerging instead as identical gray boxes while a person looks on in confusion.","""Wait, what?""",2026-04-03,2026-04-24,building,,,
the-multi-wave-investigation,d5599bc8d691,The Multi-Wave Investigation,,the-multi-wave-investigation.webp,"Hand-drawn scene of a person directing waves of searchlights across a landscape, revealing systems, categories, and obstacles, with a central map summarizing findings.","""Fan out!""",2025-12-25,2026-04-25,insight,,,
verify-the-paraphrase,3ba835eb5be0,Verify the Paraphrase,,verify-the-paraphrase.webp,A whisper chain simplifies a message into a confident claim while one person checks a detailed source book showing different information.,Behold! The confidence of the mediocre...,2026-04-19,2026-04-26,insight,,,
the-deeper-why,be372d6ded94,The Deeper Why,,the-deeper-why.webp,"Hand-drawn cutaway of a backyard pool: people enjoy calm, clear water above while below an overly complex maze of pipes and labeled systems shows unnecessary engineering beneath a simple, working experience.",The water's fine!,2026-04-07,2026-04-28,building,,,
weekly-ship-040-the-methodology-audits-itself,af11a99e8f6f,Weekly Ship #040: The Methodology Audits Itself,,piper-ship.webp,A person leads a small boat crewed by robots.,,2026-04-23,2026-04-29,ship,,,
the-floor-comes-alive,17df4367fc2c,The Floor Comes Alive,2026-04-08,the-floor-comes-alive.webp,"Person kneels on a smooth tiled floor as a small crack reveals a softly glowing, living layer beneath.",Who said that?,2026-04-08,2026-04-30,building,,,
the-drift-you-dont-notice,9e28582a41f9,The Drift You Don't Notice,2026-02-01,the-drift-you-dont-notice.webp,"A ghostlike clerk feeds ‘yesterday’s’ page into a copier while a nearby ‘Original Spec’ sits unused, as the output copies become progressively faded and warped; a supervisor watches, realizing the issue.",Just as good as the original!,2026-02-01,2026-05-02,insight,,,
friction-focused-feedback,e05231fb7e8e,Friction-Focused Feedback,2026-03-13,friction-focused-feedback.webp,"Hand-drawn cartoon of small agents sending gear ideas through a narrowing filter into a strained central machine; complex add-ons jam it, while simple parts pass through and make the gears run smoothly.","Now, don't all shout at once!",2026-03-13,2026-05-03,insight,,,
six-issues-before-dinner,bc12f6f87bcb,Six Issues Before Dinner,2026-04-14,six-issues-before-dinner.webp,"A calm engineer stands beside a large, smoothly turning flywheel machine, where completed tasks gently drop off as the system runs.",Like a Swiss watch...,2026-04-14,2026-05-05,building,,,
weekly-ship-041-the-methodology-closes-its-own-loops,11034c2bc7ad,Weekly Ship #041: The Methodology Closes Its Own Loops,2026-04-24,piper-ship.webp,A child leads a ship operated by robots.,,2026-04-24,2026-05-06,ship,,,
a-hail-of-memos,646d02695514,A Hail of Memos,2026-04-16,a-hail-of-memos.webp,"Figure at center of a radial storm of incoming message-slips, struggling to catch them while working.",Let me get back to you on that!,2026-04-16,2026-05-07,building,,,
the-inchworm-position,f650f9fe9967,The Inchworm Position,2025-11-19,ai-inchworm.webp,An inchworm traverses a branching numbered tree while a human and glowing AI-being observe its precise progress through the hierarchy.,How does that song go?,2025-11-23,2026-05-11,insight,,,
audit-and-talk,606453f1c577,Audit and Talk,,audit-and-talk.webp,"Cross-section cartoon of glowing AI beings maintaining a hidden routing machine beneath a fragile cliffside roadway full of warning barriers and drifting mismatched diagrams, showing structure quietly preventing unsafe paths before they can be reached.",Safety first!,2026-04-17,2026-05-12,building,,,
weekly-ship-042-what-was-working-got-written-down,4904bbda14aa,Weekly Ship #042: What Was Working Got Written Down,,piper-ship.webp,A boy leads a boat crewed by robots.,,2026-05-01,2026-05-13,ship,,,
same-failure-six-agents-ninety-minutes,489a1d49895b,"Same Failure, Six Agents, Ninety Minutes",,same-failure-six-agents-ninety-minutes.webp,"A high-speed train entering a rail junction where six parallel tracks branch into different analytical landscapes before merging again, with one exaggerated claim diverted onto a repair siding",People get ready!,2026-04-19,2026-05-14,building,,,
the-family-resemblance,568b8b65d360,The Family Resemblance,,the-family-resemblance.webp,Ethereal AI beings collaboratively sew a shared quilt whose patterns grow more intricate and interconnected from left to right.,"""It's becoming a tradition!""",2026-04-18,2026-05-16,insight,,false,
from-protocol-to-infrastructure,6611e3b8c185,From Protocol to Infrastructure,,from-protocol-to-infrastructure.webp,A simple communication protocol evolving into a network of connected infrastructure nodes and agent mailboxes.,"""""",2026-02-25,2026-05-17,insight,,false,
the-log-that-fact-checked-itself,7cbb6637538f,The Log That Fact-Checked Itself,,the-log-that-fact-checked-itself.webp,"Glowing ethereal beings amending a giant ledger book, reintegrating missing pages into the official record while the book appears to point out its own omissions","""Not so fast!""",2026-04-22,2026-05-19,building,,false,
weekly-ship-043-the-skill-that-doesnt-fire,88c23173bba6,Weekly Ship #043: The Skill That Doesn't Fire,,piper-ship.webp,A boy leads a boat crewed by robots.,N/A,2026-05-08,2026-05-20,ship,,false,
the-voice-of-a-denial,7c2df904ddc7,The Voice of a Denial,,the-voice-of-a-denial.webp,"A stern security guard filters harsh, jagged messages in a basement office while an ethereal concierge upstairs gently redirects a visitor toward a peaceful path outside.","""Tone matters!""",2026-04-22,2026-05-21,building,,false,
project-biorhythms,a9d284de8d9c,Project Biorhythms,,project-biorhythms.webp,"A giant sleeping creature forms the landscape while tiny explorers investigate one side, builders rapidly construct on the other, and bridge-makers connect the middle, as one frantic manager tries to force a straight productivity line across the creature’s natural breathing rhythm.",Just ignore the guy with the ruler.,2025-11-22,2026-05-23,insight,,false,
five-whys-for-design-decisions,6fbbd990294a,Five Whys for Design Decisions,,five-whys-for-design-decisions.webp,"Cross-section cartoon of investigators excavating beneath a small user-interface problem, uncovering deeper layers of assumptions until they reveal a massive buried foundation labeled “command-oriented design.”",We have to get to the bottom of this!,2025-12-20,2026-05-24,insight,,false,
two-migrations-in-one-day,91d148229561,Two Migrations in One Day,,two-migrations-in-one-day.webp,"Two luminous AI beings descend in a transparent transfer chamber from a calm executive observatory into a dense workshop filled with terminals, cables, machinery, and active construction, while floating documents and diagrams accompany them as preserved institutional memory.","""Let's get right down to it!""",2026-04-23,2026-05-26,building,,false,
weekly-ship-044-what-survives-an-experiment,b96fc9196826,Weekly Ship #044: What Survives an Experiment,,piper-ship.webp,A child leads a boat crewed by robots.,N/A,2026-05-27,2026-05-27,ship,,false,
the-misfiled-voice-guide,48f6670b89f4,The Misfiled Voice Guide,,the-misfiled-voice-guide.webp,A communications manual discovered on the wrong shelf in a vast archive.,Always the last place you look!,2026-04-24,2026-05-28,building,,false,
stacked-silent-failures,a2ee4d11ab1b,Stacked Silent Failures,,stacked-silent-failures.webp,An investigator studies a small leak in a large water tank while two other unnoticed leaks drip nearby and the tank sits unexpectedly low.,"""It’s not just one thing!""",2026-05-08,2026-05-31,insight,,false,
when-your-ai-makes-things-up,6fe0f91c84ec,When Your AI Makes Things Up,,when-your-ai-makes-things-up.webp,"A glowing AI mixes “Verified Fact,” “Plausible Inference,” and “Complete Fabrication” into a bucket labeled “Blog Post” as a human fact-checker watches.","""I don’t think that’s right!""",2026-02-01,2026-06-01,insight,,false,
bring-your-own-chat,d3c1e1c5e2b7,Bring Your Own Chat,,bring-your-own-chat.webp,"A friendly robot and a curious human meet a smiling dolphin-like helper carrying notebooks and project materials, while another human and several AI companions watch approvingly from the background.","""I’m Piper and I’m here to help!""",2026-04-08,2026-06-02,building,,false,
weekly-ship-045-the-substrate-pivoted,d7481e222652,Weekly Ship #045: The Substrate Pivoted,,piper-ship.webp,A child leads a boat crewed by robots.,N/A,2026-05-22,2026-06-03,ship,,false,
upstream-of-the-floor,5b933d0ed464,Upstream of the Floor,,upstream-of-the-floor.webp,"A newly built floodgate stands across a nearly dry river channel while most of the river flows down an unnoticed branch upstream, as workers realize the water has been bypassing their structure all along.","""Good news! the floodgate works...""",2026-04-25,2026-06-04,building,,false,
be-prepared,7b980d49ad01,Be Prepared,,be-prepared.webp,"A mountain guide and three hikers study a trail map at a trailhead while, in the distance, another hiking party encounters a series of avoidable problems including a broken bridge, a wrong turn, and a difficult cliff climb.","""Everybody clear on the plan?""",2025-12-09,2026-06-06,insight,,false,
permission-to-pause,2031918207fd,Permission to Pause,,permission-to-pause.webp,"A mountaineer kneels to probe the snow ahead while impatient teammates wait behind, unaware of a hidden crevasse opening in the ridge.","""Let's proceed with caution!""",2026-03-13,2026-06-07,insight,,false,
where-would-the-data-come-from,0659cd893c90,Where Would the Data Come From?,,where-would-the-data-come-from.webp,"A fisherman sits beside a tackle box and thermos, patiently casting into a vast dry lakebed while a glowing, semi-corporeal AI agent studies a clipboard and looks around in confusion at the complete absence of water.","""We should start collecting fish statistics any day now""",2026-04-30,2026-06-09,building,,false,
weekly-ship-046-the-substrate-delivered,fea06d0868cc,Weekly Ship #046: The Substrate Delivered,,piper-ship.webp,A child leads a boat crewed by robots.,N/A,2026-05-29,2026-06-10,ship,,false,
the-pace-verified,89f6249d28ab,The Pace Verified,,the-pace-verified.webp,Semi-corporeal AI pit crew calmly organizing tools and reviewing diagnostics as a race car blurs past at extreme speed.,"""Safe at any speed!""",2026-05-02,2026-06-11,building,,false,
critical-vs-commodity-work-in-a-role,14303330f1bc,Critical vs Commodity Work in a Role,,critical-vs-commodity-work-in-a-role.webp,"A gentle AI conductor guides a crowded orchestra, highlighting the quiet melodic thread amid the many musicians at work.","""Listen for the leading tones""",2026-04-23,2026-06-13,insight,,false,
the-solo-founder-paradox,eb5c62fef2a0,The Solo Founder Paradox,,the-solo-founder-paradox.webp,"A thoughtful ruler considers a small decision while an entire court of ingenious clockwork advisors waits patiently among completed inventions, scrolls, and architectural models.","""Next, please!""",2026-02-15,2026-06-14,insight,,false,
first-subagent-in-production,ffaeb854910c,First Subagent in Production,,first-subagent-in-production.webp,"A workshop where a human creator watches proudly from above as a glowing AI lead developer supervises a smaller AI subagent completing careful work below, while a shared mechanical cable quietly causes a tiny unnoticed disturbance in the workshop machinery","""They grow up so fast!""",2026-05-06,2026-06-16,building,,false,
weekly-ship-047-the-team-catches-itself,6aa43a3503ca,Weekly Ship #047: The Team Catches Itself,,piper-ship.webp,A child and a crew of robots checking each other's work on a boat.,,2026-06-05,2026-06-17,ship,,false,
hypothesis-refuted,2175be6c7522,Hypothesis Refuted,,hypothesis-refuted.webp,"A worried surveyor inspects a sturdy stone bridge using warped measuring tools—a bent ruler, tangled plumb line, and damaged map—while travelers cross the bridge without concern and a puzzled ghostly AI examines the crooked ruler, realizing the instruments are the real problem.","""Maybe check the ruler?""",2026-05-08,2026-06-18,building,,false,
this-ones-taken,e3a074aa9d0f,This One's Taken,,this-ones-taken.webp,"A glowing AI pattern detective studies a case board where two identical Pattern 067 cards point back to Pattern 063, revealing that the pattern catalog has become evidence of its own parallel-authoring drift.","""It''s elementary!""",2026-05-09,2026-06-20,insight,era-2,false,
extension-without-integration,6db4781ea389,Extension Without Integration,,extension-without-integration.webp,"A hotel guest's casual gesture triggers four eager valets at once—one grabs the keys, one offers the elevator, and two compete over the same suitcase, while a translucent observer realizes the coordination problem.","""I''ve got it!""",2026-03-13,2026-06-22,insight,,false,
branch-or-anchor-in-ninety-minutes,418017711853,Branch-or-Anchor in Ninety Minutes,,branch-or-anchor-in-ninety-minutes.webp,"A translucent AI librarian pauses before shelving a new book that resembles an established series, then creates a neighboring shelf with a visible lineage link, recognizing that similar appearance does not mean the same category.","""Not so fast there!""",2026-05-10,2026-06-23,building,,false,
weekly-ship-048-the-team-put-it-in-writing,2f32fb35d613,Weekly Ship #048: The Team Puts It in Writing,,piper-ship.webp,A child and a crew of robots checking each other's work on a boat.,,2026-06-12,2026-06-24,ship,d1-sprint,false,
the-hook-and-the-worktree,b156d89cf226,The Hook and the Worktree,,the-hook-and-the-worktree.webp,"A crowded bridge crossing is surrounded by piles of reminders warning about a missing plank, while a quiet carpenter simply installs the missing board—showing how a small structural fix succeeds where constant vigilance does not.",Mind the gap!,2026-05-13,2026-06-26,building,building-piper-morgan,false,
the-triad-model,64267a5e395d,The Triad Model,,the-triad-model.webp,"Three glowing AI collaborators refine a floating crystal together while a human founder watches approvingly from the side, illustrating product, design, and engineering perspectives combining into a stronger shared idea.","""This is really coming together!""",2025-12-02,2026-06-27,insight,,false,
relationship-first-ethics,387238c2a510,Relationship-First Ethics,,relationship-first-ethics.webp,"A human and a friendly AI companion dance stiffly under the scrutiny of a committee of tiny rule-enforcing AI helpers, while nearby the same pair dances gracefully together after the judges step away, illustrating how trust and shared history create fluency beyond rules.","""Getting to know you...""",2025-11-30,2026-06-29,insight,,false,
from-briefing-to-vision,7f28abc14ad5,From Briefing to Vision,,from-briefing-to-vision.webp,"A glowing geometric AI companion climbs a mountain from towering stacks of project documents to an observatory overlooking a vast landscape, symbolizing how accumulated context becomes strategic vision and better judgment over time.",It starts with a single step,2026-03-30,2026-06-30,building,,false,
weekly-ship-049-the-team-builds-its-own-reliability,406fba157dd4,Weekly Ship #049: The Team Builds Its Own Reliability,,piper-ship.webp,A child and a crew of robots checking each other's work on a boat.,,2026-06-19,2026-07-01,ship,reconnect,false,
the-airport-corrections,6c74263d4862,The Airport Corrections,,the-airport-corrections.webp,"At an airport gate, a traveler supervises a whimsical team of glowing AI helpers tending an autonomous work loop while planes wait outside the windows.","""Now don't stray too far before boarding!""",2026-05-25,2026-07-02,building,,false,
climbing-higher-when-the-platform-laps-you,887c7c3d0fc7,Climbing Higher When the Platform Laps You,,climbing-higher-when-the-platform-laps-you.webp,"A mountain climber ascends toward a summit observatory while the rough path below evolves into permanent stone stairs and an elegant mechanical lift, symbolizing custom work becoming shared infrastructure.","""You've got to be kidding me!""",2026-05-06,2026-07-04,insight,,false,
the-practice-that-got-retired,56e79d586c0a,The Practice That Got Retired,,the-practice-that-got-retired.webp,"A gardener gently removes the support stakes from a young tree that has grown strong enough to stand on its own, while several small glowing AI companions carefully coil the ropes, take notes, and neatly stack the retired stakes, symbolizing a successful practice whose lessons endure after the implementation is retired.","""I think we''re ready!""",2026-05-17,2026-07-05,insight,,false,
